Ref,Val,Package,PosX,PosY,Rot,Side
"R205","5k1 5%","R_0402_1005Metric",208.050000,-86.000000,180.000000,top
"R206","10k 1%","R_0402_1005Metric",211.550000,-88.800000,90.000000,top
"R207","56k 1%","R_0402_1005Metric",197.110000,-106.260000,-90.000000,top
"R209","240k 1%","R_0402_1005Metric",198.110000,-106.260000,-90.000000,top
"R210","82k 1%","R_0402_1005Metric",196.110000,-106.260000,90.000000,top
"R211","5k1 5%","R_0402_1005Metric",158.090000,-83.800000,90.000000,top
"R213","10k 1%","R_0402_1005Metric",146.560000,-88.360000,0.000000,top
"R214","5k1 5%","R_0402_1005Metric",202.800000,-86.000000,180.000000,top
"R215","10k 1%","R_0402_1005Metric",206.324200,-88.800000,90.000000,top
"R216","5k1 5%","R_0402_1005Metric",149.680000,-79.360000,0.000000,top
"R218","10k 1%","R_0402_1005Metric",143.240000,-78.410000,0.000000,top
"R219","5k1 5%","R_0402_1005Metric",149.690000,-77.190000,0.000000,top
"R220","10k 1%","R_0402_1005Metric",134.150000,-78.405000,0.000000,top
"R221","1k  5%","R_0805_2012Metric",122.680000,-84.510000,0.000000,top
"R222","2K74 1%","R_0402_1005Metric",200.710800,-83.359600,180.000000,top
"R223","1K3 1%","R_0402_1005Metric",200.710800,-84.429600,180.000000,top
"R301","6R8","RESM17073X710N",221.110000,-85.890000,-90.000000,top
"R302","47k 1%","R_0402_1005Metric",207.065000,-121.300000,90.000000,top
"R303","10R 1%","R_0402_1005Metric",206.025000,-123.250000,90.000000,top
"R304","40k2 1%","R_0402_1005Metric",207.075000,-123.250000,-90.000000,top
"R305","13k 1%","R_0402_1005Metric",208.575000,-121.775000,180.000000,top
"R306","10R 1%","R_0402_1005Metric",203.725000,-117.875000,180.000000,top
"R307","100k 1%","R_0402_1005Metric",206.025000,-121.300000,-90.000000,top
"R401","1k 1%","R_0402_1005Metric",198.620000,-100.080000,0.000000,top
"R402","10k 1%","R_0402_1005Metric",197.091035,-99.564065,90.000000,top
"R403","5k1 5%","R_0402_1005Metric",195.066035,-99.564065,-90.000000,top
"R404","5k1 5%","R_0402_1005Metric",198.220000,-83.410000,180.000000,top
"R405","5k1 5%","R_0402_1005Metric",195.680000,-83.420000,180.000000,top
"R406","1k 1%","R_0402_1005Metric",153.867235,-113.560865,90.000000,top
"R407","10k 1%","R_0402_1005Metric",152.857235,-113.550865,90.000000,top
"R501","10k 1%","R_0402_1005Metric",190.700000,-93.700000,90.000000,top
"R502","0R","R_0402_1005Metric",173.330000,-83.780000,-90.000000,top
"R503","0R","R_0402_1005Metric",180.430000,-88.140000,-90.000000,top
"R504","0R","R_0402_1005Metric",178.950000,-83.340000,0.000000,top
"R505","10k 1%","R_0402_1005Metric",190.700000,-98.400000,90.000000,top
"R506","100R 1%","R_0402_1005Metric",205.450000,-97.750000,0.000000,top
"R507","39k 1%","R_0402_1005Metric",206.486700,-96.710600,0.000000,top
"R508","820k 1/3W","R_0805_2012Metric",226.674200,-99.060600,0.000000,top
"U203","ADG417BR","SOIC-8_3.9x4.9mm_P1.27mm",139.000000,-92.880000,180.000000,top
"U204","ADG417BR","SOIC-8_3.9x4.9mm_P1.27mm",144.440000,-82.960000,180.000000,top
"U205","ADG417BR","SOIC-8_3.9x4.9mm_P1.27mm",207.822800,-92.989400,180.000000,top
"U206","ADG417BR","SOIC-8_3.9x4.9mm_P1.27mm",147.775000,-92.895000,180.000000,top
"U207","ADG417BR","SOIC-8_3.9x4.9mm_P1.27mm",135.360000,-82.945000,180.000000,top
"U208","ADG417BR","SOIC-8_3.9x4.9mm_P1.27mm",197.750200,-87.807800,0.000000,top
"U401","ADC081C021CIMM","MSOP-8_3x3mm_P0.65mm",197.737500,-103.345000,0.000000,top
"U402","ADC081C021CIMM","MSOP-8_3x3mm_P0.65mm",197.776035,-96.754065,0.000000,top
"U403","ADC081C021CIMM","MSOP-8_3x3mm_P0.65mm",153.932500,-110.775000,0.000000,top
"U501","LM321","SOT-23-5",175.450000,-118.480000,180.000000,top
"U502","YT-35636","YT-35636",146.925000,-97.880093,-90.000000,top
